mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.9493476148294,0.0419971637675701,0.840079748553274,0.960364637397259,0.997084872377107,1,40469,p.nonlocal[27]
0.678597265913009,0.0903267775861294,0.48794419620949,0.6832155692739,0.839805496261677,1,39698,p.nonlocal[28]
0.803496670408675,0.0767233807171909,0.632877184773639,0.81175033109973,0.929313508874749,1,40318,p.nonlocal[29]
0.965038585740507,0.0352608383077094,0.869534984444985,0.975997385218207,0.999328524999714,1,39652,p.nonlocal[30]
0.947455743799442,0.0431806539432651,0.835585106628767,0.958671385837407,0.996870453038292,1,40402,p.nonlocal[31]
0.975617409377864,0.0295665985500535,0.893319795430998,0.986322347432264,0.999896068139375,1,40000,p.nonlocal[32]
0.700488492890551,0.0882593111993565,0.51547911719461,0.706175140174841,0.856687531531585,1,39303,p.nonlocal[33]
0.935275199391668,0.0475380074298658,0.815541685708218,0.946358833824959,0.993888533629076,1,39663,p.nonlocal[34]
0.806692196219735,0.0765275801457299,0.636053404358792,0.815078035430696,0.931327242721367,1,39070,p.nonlocal[35]
0.949155727744675,0.0421941114500224,0.840256271584667,0.96028100095229,0.997143453238787,1,40055,p.nonlocal[36]
0.975335933917028,0.0300846621541402,0.891235429940686,0.986103745058681,0.999908705810162,1,40000,p.nonlocal[37]
0.970995492281534,0.0322700214622019,0.88296400142422,0.981835983213674,0.999744299431513,1,41016,p.nonlocal[38]
0.937412047280989,0.0466375318336878,0.819346031434989,0.948423558484001,0.99458559170342,1,39321,p.nonlocal[39]
0.924341715708913,0.0508276333034544,0.798253859424528,0.934832657525791,0.990474525357514,1,40025,p.nonlocal[40]
0.888777841605667,0.0606072072276137,0.744036715399643,0.898940527138968,0.976481955970522,1,40233,p.nonlocal[41]
0.700286314689599,0.0884593820461502,0.515087216949621,0.705317332051656,0.856602122089867,1,40091,p.nonlocal[42]
0.704949468408206,0.087769050478427,0.520249784440195,0.710386585636278,0.859703373447855,1,39844,p.nonlocal[43]
0.851742212049767,0.0681842789749316,0.696260809070964,0.860406390508286,0.957900292273681,1,40000,p.nonlocal[44]
0.872092749968441,0.0643326224257888,0.722676311819156,0.881583404596464,0.968760470148132,1,38937,p.nonlocal[45]
0.966274678858993,0.0343513929678688,0.873329211233187,0.977222467960944,0.999444915940114,1,40975,p.nonlocal[46]
0.970615173419776,0.0327295962683246,0.880160495167014,0.981804094322637,0.999712122825735,1,40505,p.nonlocal[47]
0.727080723850101,0.0858593071152432,0.544354785748292,0.732570059033937,0.877421938766722,1,40197,p.nonlocal[48]
0.803142326022999,0.0770329710618118,0.632783063188966,0.811137736724845,0.929110371362504,1,40000,p.nonlocal[49]
0.90580326698604,0.0560142107273998,0.772024557602807,0.915797143518299,0.983615797162006,1,40694,p.nonlocal[50]
0.700920256513083,0.0881326559057341,0.515758288740693,0.706299687411389,0.857624537340621,1,40000,p.nonlocal[51]
0.592461543487466,0.0953757664277263,0.400094127374522,0.59511577689247,0.772204964344823,1,39799,p.nonlocal[52]
0.958527450993964,0.0384505259501006,0.856487358233039,0.969753835003305,0.998606666032837,1,39223,p.nonlocal[53]
0.869517993571979,0.0652612771824555,0.718948372582845,0.878989067471879,0.967602131714933,1,40000,p.nonlocal[54]
0.936950934900332,0.0471635327850977,0.817533532132728,0.948108166254654,0.994556226154344,1,40332,p.nonlocal[55]
0.868533576424958,0.0652828344683611,0.716620899340013,0.877763319956109,0.967615685658028,1,40949,p.nonlocal[56]
0.891088116851054,0.0599842448868661,0.747694371327,0.901396496423518,0.977109174185679,1,39407,p.nonlocal[57]
0.965894252537513,0.0352894388144368,0.869883450729406,0.977035148129821,0.999386185505626,1,39383,p.nonlocal[58]
0.974623895220408,0.0301172088951734,0.891141661119385,0.985376121983038,0.999876464120592,1,40000,p.nonlocal[59]
0.887732921578662,0.0604618508208622,0.745035897260926,0.897556140104563,0.97561598467146,1,39501,p.nonlocal[60]
0.868668844405463,0.0650406300957381,0.717388657268167,0.877849268553538,0.967152287054202,1,41209,p.nonlocal[61]
0.675209935651139,0.0906019416788927,0.48750742833073,0.679834451986608,0.837453154813494,1,40408,p.nonlocal[62]
0.757495007389485,0.0823664236451029,0.580779641476016,0.764220780283685,0.899242753151686,1,39741,p.nonlocal[63]
0.847472479478113,0.0694530359874447,0.689666424332916,0.856502302689692,0.955292285422173,1,40000,p.nonlocal[64]
0.97467301390579,0.0304796795999683,0.888758461494406,0.985730058373733,0.999886563342445,1,40000,p.nonlocal[65]
0.907653244879917,0.0555836248628453,0.775809306715434,0.917863202695608,0.985095482235974,1,39690,p.nonlocal[66]
0.949199541852645,0.0424080606923797,0.840020237856672,0.960345816184718,0.997152666135,1,38099,p.nonlocal[67]
0.617054467204429,0.0941679676464645,0.424849932500455,0.620568449007822,0.79126107095012,1,40000,p.nonlocal[68]
0.970810980737886,0.0323747646769494,0.881706192926132,0.981967748319432,0.999714377637038,1,39766,p.nonlocal[69]
0.75694329368272,0.0831750528453222,0.576652526384514,0.763516513741998,0.898759185082087,1,40332,p.nonlocal[70]
0.851297349767311,0.0684499343890876,0.694168566718802,0.860245593114987,0.957328110657692,1,40460,p.nonlocal[71]
0.644257172936311,0.0922286981940468,0.455600936037292,0.64800562226865,0.812943808938173,1,40000,p.nonlocal[72]
0.904308343489678,0.0571051013200868,0.766040262372716,0.914645940376804,0.983562974887813,1,40646,p.nonlocal[73]
0.565251336683871,0.0964454976525484,0.374689270074942,0.566651306854073,0.747498232786771,1,39666,p.nonlocal[74]
0.95811945094115,0.0389152362441847,0.854270031909638,0.969250732694839,0.998659297334606,1,40493,p.nonlocal[75]
0.958298500167658,0.0388796713755662,0.854993138644515,0.969657413492387,0.998642886728387,1,40868,p.nonlocal[76]
0.975406723075674,0.0295923870792037,0.892904473123266,0.986169538727648,0.999897921617948,1,40162,p.nonlocal[77]
