mean,sd,lcl,median,ucl,Rhat,n.eff,parameter
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[33]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[34]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[35]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[36]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[37]
0.616597456960855,0.148155848843144,0.311007561623324,0.625552948700963,0.876471148124444,1,3173,p.nonlocal[38]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[39]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[40]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[41]
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[42]
0.540603350984558,0.119003792544615,0.328944457326529,0.53342687062904,0.795049884820357,1,2264,p.nonlocal[43]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[44]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[45]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[46]
0.290301640310387,0.108124093716445,0.137579295453404,0.27117435274102,0.558002318545813,1.01,2189,p.nonlocal[47]
0.449944529752763,0.155862361905515,0.175983605686881,0.441469339048402,0.770483359953077,1,3114,p.nonlocal[48]
0.443054148856364,0.137759449471569,0.204332615907568,0.432309523739476,0.730791032274912,1,3088,p.nonlocal[49]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[50]
0.167532982359528,0.0809332124388193,0.0701798938527506,0.149686872873436,0.373945343189174,1.02,2000,p.nonlocal[51]
0.626313725465082,0.110708512737999,0.4161083527223,0.62436107574726,0.849390867134718,1,2314,p.nonlocal[52]
0.613778829048147,0.130395887876382,0.351820721845673,0.616791544444578,0.851577320203691,1,3181,p.nonlocal[53]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[54]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[55]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[56]
0.45274998616984,0.121297943297099,0.252154152991109,0.440215861818987,0.72739484081238,1,2238,p.nonlocal[57]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[58]
0.367841019553889,0.117358103841354,0.188261008430584,0.351038088018519,0.647313631755934,1,2228,p.nonlocal[59]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[60]
0.223108833418151,0.0953292995608038,0.0988795920264341,0.2037749276078,0.464774757641934,1.01,2136,p.nonlocal[61]
