Date,Lab,RefID,Region,Age,GrowthYr,LocationCode,Latitude,Longitude,DHF,MAD
1/12/2008,IA,RT03 (265),HAMPSHIRE,Adult,2008,27,51.2,-1.4,-37.17,-55
1/12/2008,IA,RT05 (307),HAMPSHIRE,Adult,2008,27,51.2,-1.4,-43.34,-55
1/12/2008,IA,RT09 (346),HAMPSHIRE,Adult,2008,27,51.2,-1.4,-44.8,-55
1/12/2008,IA,RT15 (819),HAMPSHIRE,Adult,2008,27,51.2,-1.4,-42.05,-55
1/12/2008,IA,RT17 (897),HAMPSHIRE,FY,2008,27,51.2,-1.4,-63.65,-55
1/12/2008,IA,RT20 (918),HAMPSHIRE,Adult,2008,27,51.2,-1.4,-26.87,-55
1/12/2009,IA,RT38 (665),HAMPSHIRE,Adult,2009,27,51.2,-1.4,-17.17,-55
1/12/2010,IA,RT43 (15),HAMPSHIRE,Adult,2010,27,51.2,-1.4,-43.46,-55
1/12/2010,IA,RT61 (567),HAMPSHIRE,FY,2010,27,51.2,-1.4,-30.26,-55
1/12/2010,IA,RT67 (784.5),HAMPSHIRE,Adult,2010,27,51.2,-1.4,-32.09,-55
1/07/2008,IA,KO 130,SCOTLAND,Adult,2007,28,57.04,-3.05,-59.42,-71
1/07/2003,IA,KO 131,SCOTLAND,Adult,2002,28,57.06,-2.49,-50.79,-69
16/05/2006,SUERC,KO 100,SPAIN,Adult,2005,29,43.33,-6,-27.82,-41
01/06/2006,SUERC,KO 101,SPAIN,Adult,2005,29,43.33,-6,-35.04,-41
05/06/2006,SUERC,KO 102,SPAIN,Adult,2005,29,43.33,-6,-25.04,-41
06/06/2006,SUERC,KO 103,SPAIN,Adult,2005,29,43.33,-6,-28.87,-41
