ID,KANTON,dH,LATITUDE,LONGITUDE,feather_growth_date,feather_sampling_date
KO 15,BELARUS,-29.9942,52.87,24.18,2002-06-15,2003-05-31
KO 104,SWEDEN,-39.63884,57.93,19.15,2010-06-15,2010-08-06
KO 105,SWEDEN,-64.50872,60,18,2009-05-15,2010-08-23
KO 106,SWEDEN,-26.31356,57.73,12.7,2009-06-15,2010-04-24
KO 48,NORWAY,-63.2648,59.73,9.87,2009-05-15,2010-07-19
KO 146,GERMANY,-56.32952,50.67,8.59,2009-08-15,2009-09-29
N1,NORFOLK,0.856719999999999,52.7,1,2007-06-15,2008-05-01
MD1,HAMPSHIRE,-26.67992,51.2,-1.4,2007-06-15,2007-09-12
RT03 (265),HAMPSHIRE,-20.89484,51.2,-1.4,2008-06-15,2008-12-01
RT05 (307),HAMPSHIRE,-26.15168,51.2,-1.4,2008-06-15,2008-12-01
RT09 (346),HAMPSHIRE,-27.3956,51.2,-1.4,2008-06-15,2008-12-01
RT15 (819),HAMPSHIRE,-25.0526,51.2,-1.4,2008-06-15,2008-12-01
RT17 (897),HAMPSHIRE,-43.4558,51.2,-1.4,2008-08-15,2008-12-01
RT20 (918),HAMPSHIRE,-12.11924,51.2,-1.4,2008-06-15,2008-12-01
RT38 (665),HAMPSHIRE,-3.85484,51.2,-1.4,2009-06-15,2009-12-01
RT43 (15),HAMPSHIRE,-26.25392,51.2,-1.4,2010-06-15,2010-12-01
RT61 (567),HAMPSHIRE,-15.00752,51.2,-1.4,2010-08-15,2010-12-01
RT67 (784.5),HAMPSHIRE,-16.56668,51.2,-1.4,2010-06-15,2010-12-01
KO 130,SCOTLAND,-39.85184,57.04,-3.05,2008-06-15,2008-07-01
KO 131,SCOTLAND,-32.49908,57.06,-2.49,2003-06-15,2003-07-01
KO 100,SPAIN,-12.92864,43.33,-6,2005-06-15,2006-05-16
KO 101,SPAIN,-19.08008,43.33,-6,2005-06-15,2006-06-01
KO 102,SPAIN,-10.56008,43.33,-6,2005-06-15,2006-06-05
KO 103,SPAIN,-13.82324,43.33,-6,2005-06-15,2006-06-06
2017K115162,NE,-0.174200000000001,46.98887782,6.4748905,2017-06-15,2017-11-02
2018K122030,NE,-38.003,46.857304,6.519447,2017-06-15,2018-04-24
2018K122028,NE,-32.90804,46.942127,6.478576,2017-06-15,2018-04-18
2017K116320,VD,-29.88344,46.87266458,6.603729089,2016-06-15,2017-06-18
2018K122022,NE,-28.65656,46.9898041,6.6756187,2017-06-15,2018-04-10
2018K122031,NE,-28.15388,46.939293,6.745601,2017-06-15,2018-04-26
2018K122023,NE,-24.43916,46.885719,6.591963,2017-06-15,2018-04-11
2018K122037,NE,-23.2208,46.9394237,6.7456278,2017-06-15,2018-05-26
2017K116303,NE,-22.36028,46.98875472,6.676080585,2016-06-15,2017-04-13
2018K122040,NE,-21.24416,46.9555019,6.5073754,2017-06-15,2018-06-07
2017K116313,NE,-21.15896,46.933474,6.504421305,2016-06-15,2017-05-23
2015K112959,NE,-20.57108,46.95604,6.4974,2014-06-15,2015-06-24
2018K122041,NE,-20.39216,47.0222714,6.8328999,2017-06-15,2018-06-14
2018K122036,VD,-19.29308,46.877704,6.6101579,2017-06-15,2018-05-25
2018K122039,VD,-18.80744,46.8502651,6.5523355,2017-06-15,2018-06-01
2017K116309,NE,-18.63704,46.86525939,6.531430861,2016-06-15,2017-04-30
2015K112960,NE,-18.24512,46.939316,6.74558,2014-06-15,2015-06-26
2018K122025,NE,-17.12048,46.9898041,6.6756187,2017-06-15,2018-04-17
2018K122042,NE,-17.09492,46.9579123,6.4941292,2017-06-15,2018-06-29
2017K116312_A,NE,-16.47296,46.93192642,6.49998321,2016-06-15,2017-05-09
2018K122024,NE,-16.1066,46.9898041,6.6756187,2017-06-15,2018-04-16
2015RIMEYA01,FR,-16.05548,46.5684132,7.008731567,2014-06-15,2015-06-19
2015GREJE01,FR,-15.8936,46.56396975,7.004110751,2014-06-15,2015-06-10
2017K115185,NE,-15.0416,46.98980413,6.675618713,2016-06-15,2017-06-16
2015GREJE02,FR,-13.09052,46.56396975,7.004110751,2014-06-15,2015-06-10
2018K122032,VD,-12.36632,46.850239,6.552103,2017-06-15,2018-05-18
2018K118500,NE,-12.25556,46.9898041,6.6756187,2017-06-15,2018-04-05
2017K116305,NE,-11.73584,46.88468243,6.599960667,2016-06-15,2017-04-21
2017K118500,NE,-11.72732,47.00783907,6.724348169,2016-06-15,2017-03-30
2018K122034,VD,-11.22464,46.8777036,6.6101054,2017-06-15,2018-05-25
2017K116301,NE,-10.96904,46.9264812,6.49091283,2016-06-15,2017-03-31
2018K115155,NE,-10.952,47.087838,6.111127,2017-06-15,2018-03-27
2017K116306,NE,-10.59416,46.94280366,6.477345471,2016-06-15,2017-04-23
2018K112959,NE,-10.47488,46.9427425,6.4775567,2017-06-15,2018-06-19
2017K116315,NE,-10.32152,46.95533025,6.507286387,2016-06-15,2017-05-30
2017K116316,VD,-10.30448,46.85029068,6.552151473,2016-06-15,2017-06-02
2017K116319,NE,-8.9924,47.02230798,6.833017894,2016-06-15,2017-06-15
2017K116304,NE,-7.59512,46.93369865,6.471861189,2016-06-15,2017-04-19
2017K116311,NE,-7.22876,46.93927051,6.745577219,2016-06-15,2017-05-04
2017K112985,NE,-6.58124,46.93935139,6.745563043,2016-06-15,2017-04-05
2017K115186,NE,-6.30008,46.93930673,6.745616153,2016-06-15,2017-04-12
2017K116308,NE,-5.60996,46.86525939,6.531430861,2016-06-15,2017-04-30
2018K122038,VD,-5.23508,46.8502647,6.552283,2017-06-15,2018-06-01
2018K122026,NE,-4.80056,46.890217,6.621054,2017-06-15,2018-04-17
